2023-05-07 05:47:10,KesaGataMe0,url,https://smarmyhk.top,#phishing,https://twitter.com/KesaGataMe0/status/1655086853085855744
2023-05-07 05:47:10,KesaGataMe0,url,https://smarhkmi.top,#phishing,https://twitter.com/KesaGataMe0/status/1655086853085855744
2023-05-07 05:47:10,KesaGataMe0,ip,195.245.242.175,#phishing,https://twitter.com/KesaGataMe0/status/1655086853085855744
2023-05-07 05:54:01,KesaGataMe0,url,https://www.dqac.top,#phishing,https://twitter.com/KesaGataMe0/status/1655088575799787521
2023-05-07 05:54:01,KesaGataMe0,ip,194.124.216.226,#phishing,https://twitter.com/KesaGataMe0/status/1655088575799787521
2023-05-07 05:54:01,KesaGataMe0,url,https://www.csuz.cloud,#phishing,https://twitter.com/KesaGataMe0/status/1655088575799787521
2023-05-07 06:09:03,AtomSpam,url,http://www.orrnge.fr,#phishing,https://twitter.com/AtomSpam/status/1655092358986309632
2023-05-07 06:14:15,AtomSpam,url,https://tinyurl.com/2h6cj4pd,#phishing,https://twitter.com/AtomSpam/status/1655093668947062784
2023-05-07 06:15:48,AtomSpam,url,https://dnzbasvuru-tektiklahesabindaaaa.xyz,#phishing,https://twitter.com/AtomSpam/status/1655094058476351488
2023-05-07 06:19:03,AtomSpam,url,http://www.happines.me/2019/10/29/07890987654567890987654x09876567890.html,#phishing,https://twitter.com/AtomSpam/status/1655094875048538112
2023-05-07 06:22:09,AtomSpam,url,https://acir.postofficeweb.com/grupoacir/11118848-PCkPCTLso9cyBw,#phishing,https://twitter.com/AtomSpam/status/1655095656816467969
2023-05-07 06:26:32,AtomSpam,url,http://www.peteredumd.com/coby-sd/daa69f0e3aec374/region.php,#phishing,https://twitter.com/AtomSpam/status/1655096761470337028
2023-05-07 06:29:02,AtomSpam,url,https://abhishek1380.github.io/Netflix-Frontend-Project/,#phishing,https://twitter.com/AtomSpam/status/1655097390444040194
2023-05-07 06:32:51,JAMESWT_MHT,url,https://winbigdrip.life/?u=n7rwwwl&amp;o=at5ruqf&amp;t=62-3,,https://twitter.com/JAMESWT_MHT/status/1655098351858114560
2023-05-07 06:32:51,JAMESWT_MHT,url,https://gistvebusma.cf/4kmt43wwwteleboarioita06,,https://twitter.com/JAMESWT_MHT/status/1655098351858114560
2023-05-07 06:39:02,AtomSpam,url,http://classydino.com/document/office3651/,#phishing,https://twitter.com/AtomSpam/status/1655099907714211843
2023-05-07 06:42:18,AtomSpam,url,http://co46093.tw1.ru/pstl-log.php,#phishing,https://twitter.com/AtomSpam/status/1655100729785286656
2023-05-07 06:54:17,StopMalvertisin,md5,5d4aef08c92dd4eb83749bef8aed57e6,,https://twitter.com/StopMalvertisin/status/1655103745083179011
2023-05-07 06:54:17,StopMalvertisin,url,http://goat61.decorous.ru/AKADEMIK1211/clasped/globe/printing.61itdb,,https://twitter.com/StopMalvertisin/status/1655103745083179011
2023-05-07 06:54:17,StopMalvertisin,md5,44b548908b16d91655781a31c23cce22,,https://twitter.com/StopMalvertisin/status/1655103745083179011
2023-05-07 06:54:17,StopMalvertisin,url,http://courage70.undesirable.ru/DESKTOP-J6T8PGG/sally/sounds/familiar/courageous.70xmf,,https://twitter.com/StopMalvertisin/status/1655103745083179011
